id_pedido,id_cliente,id_producto,id_transportista,region_destino,monto_venta,costo_envio,costo_producto,fecha_pedido,fecha_promesa,fecha_entrega,estado_envio
PED-10001,CLI-1032,PROD-106,TR-104,Centro,2601,24.81,559,2025-11-11,2025-11-15,2025-11-16,Entregado
PED-10002,CLI-1140,PROD-126,TR-101,Oeste,2556,25.85,1686,2024-11-07,2024-11-10,2024-11-10,Entregado
PED-10003,CLI-1119,PROD-114,TR-104,Centro,903,25.96,181,2025-11-22,2025-11-26,2025-11-26,Entregado
PED-10004,CLI-1072,PROD-116,TR-103,Oeste,1392,14.45,574,2024-04-05,2024-04-10,2024-04-09,Entregado
PED-10005,CLI-1050,PROD-104,TR-101,Este,291,20.57,26,2024-02-17,2024-02-20,2024-02-20,Entregado
PED-10006,CLI-1147,PROD-106,TR-104,Oeste,2601,8.65,1677,2025-05-21,2025-05-25,2025-05-24,Entregado
PED-10007,CLI-1027,PROD-124,TR-104,Oeste,1005,9.83,362,2024-08-12,2024-08-16,2024-08-17,Entregado
PED-10008,CLI-1031,PROD-114,TR-102,Norte,903,16.91,543,2026-03-31,2026-04-04,2026-04-05,Entregado
PED-10009,CLI-1113,PROD-119,TR-104,Norte,93,31.33,129,2026-04-30,2026-05-04,2026-05-04,Entregado
PED-10010,CLI-1115,PROD-108,TR-102,Sur,168,14.84,75,2026-05-10,2026-05-14,2026-05-15,Entregado
PED-10011,CLI-1073,PROD-107,TR-103,Este,470,12.5,276,2024-12-09,2024-12-14,2024-12-15,Entregado
PED-10012,CLI-1039,PROD-122,TR-102,Centro,630,19.52,214,2024-03-06,2024-03-10,2024-03-10,Entregado
PED-10013,CLI-1052,PROD-126,TR-104,Oeste,2556,31.2,562,2025-02-02,2025-02-06,2025-02-07,Entregado
PED-10014,CLI-1097,PROD-115,TR-101,Este,486,28.31,324,2024-12-26,2024-12-29,2024-12-29,Entregado
PED-10015,CLI-1139,PROD-125,TR-102,Oeste,1716,18.8,551,2025-05-14,2025-05-18,2025-05-18,Entregado
PED-10016,CLI-1103,PROD-123,TR-102,Oeste,1377,9.21,834,2026-05-10,2026-05-14,2026-05-13,Entregado
PED-10017,CLI-1100,PROD-118,TR-101,Oeste,176,9.83,45,2024-03-26,2024-03-29,2024-03-28,Entregado
PED-10018,CLI-1097,PROD-110,TR-102,Este,410,15.19,248,2025-04-10,2025-04-14,2025-04-14,Entregado
PED-10019,CLI-1020,PROD-115,TR-101,Norte,243,10.32,324,2026-02-06,2026-02-09,,Cancelado
PED-10020,CLI-1010,PROD-124,TR-101,Oeste,1005,14.82,181,2024-09-10,2024-09-13,2024-09-12,Entregado
PED-10021,CLI-1121,PROD-121,TR-101,Oeste,192,28.82,72,2025-07-31,2025-08-03,2025-08-03,Entregado
PED-10022,CLI-1042,PROD-119,TR-101,Este,93,9.18,129,2026-03-07,2026-03-10,2026-03-10,Entregado
PED-10023,CLI-1079,PROD-118,TR-104,Centro,88,26.8,135,2025-02-10,2025-02-14,2025-02-13,Entregado
PED-10024,CLI-1062,PROD-103,TR-103,Centro,1407,17.7,272,2026-05-20,2026-05-25,2026-05-24,Entregado
PED-10025,CLI-1109,PROD-121,TR-103,Norte,64,30.29,72,2024-03-11,2024-03-16,2024-03-16,Entregado
PED-10026,CLI-1027,PROD-113,TR-103,Oeste,633,20.04,102,2025-10-12,2025-10-17,2025-10-17,Entregado
PED-10027,CLI-1133,PROD-120,TR-103,Este,1678,20.04,1082,2025-09-22,2025-09-27,2025-09-28,Entregado
PED-10028,CLI-1068,PROD-110,TR-102,Este,410,28.39,124,2026-04-30,2026-05-04,2026-05-04,Entregado
PED-10029,CLI-1145,PROD-119,TR-104,Oeste,93,14.12,86,2024-12-10,2024-12-14,2024-12-18,Entregado
PED-10030,CLI-1087,PROD-108,TR-103,Sur,84,27.58,25,2025-07-23,2025-07-28,2025-07-31,Entregado
PED-10031,CLI-1061,PROD-122,TR-104,Este,210,16.3,107,2025-10-23,2025-10-27,2025-10-27,Entregado
PED-10032,CLI-1103,PROD-122,TR-102,Oeste,420,22.57,321,2024-11-09,2024-11-13,2024-11-13,Entregado
PED-10033,CLI-1108,PROD-123,TR-103,Este,918,14.61,556,2024-12-26,2024-12-31,2024-12-31,Entregado
PED-10034,CLI-1049,PROD-110,TR-101,Oeste,205,14.23,124,2026-01-30,2026-02-02,2026-02-03,Entregado
PED-10035,CLI-1134,PROD-119,TR-103,Sur,93,13.26,86,2024-04-12,2024-04-17,2024-04-17,Entregado
PED-10036,CLI-1003,PROD-122,TR-102,Norte,630,26.98,214,2024-10-07,2024-10-11,2024-10-13,Entregado
PED-10037,CLI-1125,PROD-103,TR-101,Centro,938,13.39,544,2025-08-10,2025-08-13,2025-08-13,Entregado
PED-10038,CLI-1013,PROD-108,TR-104,Centro,168,23.79,25,2024-04-26,2024-04-30,2024-04-30,Entregado
PED-10039,CLI-1013,PROD-104,TR-102,Centro,97,11.64,26,2026-04-10,2026-04-14,2026-04-14,Entregado
PED-10040,CLI-1106,PROD-119,TR-102,Sur,186,31.29,86,2026-03-05,2026-03-09,2026-03-09,Entregado
PED-10041,CLI-1109,PROD-109,TR-101,Norte,863,14.09,1674,2025-09-16,2025-09-19,2025-09-18,Entregado
PED-10042,CLI-1020,PROD-105,TR-102,Norte,440,20.44,552,2024-06-26,2024-06-30,2024-06-29,Entregado
PED-10043,CLI-1120,PROD-109,TR-101,Sur,2589,10.39,1116,2024-08-25,2024-08-28,2024-08-28,Entregado
PED-10044,CLI-1059,PROD-129,TR-103,Sur,195,19.77,17,2026-03-17,2026-03-22,2026-03-23,Entregado
PED-10045,CLI-1038,PROD-129,TR-103,Este,65,24.27,34,2026-04-26,2026-05-01,2026-04-30,Entregado
PED-10046,CLI-1145,PROD-129,TR-103,Oeste,130,19.17,51,2025-03-25,2025-03-30,2025-03-31,Entregado
PED-10047,CLI-1138,PROD-115,TR-104,Sur,729,24.5,216,2024-03-23,2024-03-27,2024-03-27,Entregado
PED-10048,CLI-1006,PROD-102,TR-102,Centro,2529,34.99,563,2025-11-21,2025-11-25,2025-11-26,Entregado
PED-10049,CLI-1068,PROD-118,TR-101,Este,264,20.22,135,2026-02-20,2026-02-23,2026-02-23,Entregado
PED-10050,CLI-1071,PROD-105,TR-104,Este,880,19.32,552,2025-10-12,2025-10-16,2025-10-15,Entregado
PED-10051,CLI-1082,PROD-121,TR-101,Centro,192,16.14,72,2026-05-28,2026-05-31,2026-05-31,Entregado
PED-10052,CLI-1102,PROD-126,TR-101,Norte,1704,34.21,562,2025-04-10,2025-04-13,2025-04-18,Entregado
PED-10053,CLI-1131,PROD-126,TR-101,Sur,1704,13.47,562,2025-11-04,2025-11-07,2025-11-07,Entregado
PED-10054,CLI-1092,PROD-119,TR-104,Oeste,93,23.05,86,2025-10-02,2025-10-06,2025-10-05,Entregado
PED-10055,CLI-1073,PROD-114,TR-104,Este,903,16.73,181,2024-05-04,2024-05-08,2024-05-11,Entregado
PED-10056,CLI-1104,PROD-102,TR-102,Sur,843,30.55,1689,2026-05-11,2026-05-15,2026-05-15,Entregado
PED-10057,CLI-1127,PROD-129,TR-103,Este,130,14.96,34,2025-06-05,2025-06-10,2025-06-10,Entregado
PED-10058,CLI-1141,PROD-104,TR-104,Norte,291,31.4,26,2024-07-14,2024-07-18,2024-07-19,Entregado
PED-10059,CLI-1106,PROD-110,TR-103,Sur,615,34.97,372,2026-04-20,2026-04-25,2026-04-29,Entregado
PED-10060,CLI-1038,PROD-114,TR-104,Este,602,33.22,362,2024-12-19,2024-12-23,,Cancelado
PED-10061,CLI-1061,PROD-118,TR-104,Este,88,28.23,90,2024-08-27,2024-08-31,2024-08-31,Entregado
PED-10062,CLI-1097,PROD-112,TR-102,Este,642,17.3,318,2025-05-22,2025-05-26,2025-05-25,Entregado
PED-10063,CLI-1025,PROD-127,TR-104,Oeste,54,12.32,93,2024-04-12,2024-04-16,2024-04-16,Entregado
PED-10064,CLI-1039,PROD-102,TR-104,Centro,2529,19.03,1689,2026-03-11,2026-03-15,2026-03-15,Entregado
PED-10065,CLI-1020,PROD-127,TR-103,Norte,108,25.11,62,2026-05-22,2026-05-27,,Cancelado
PED-10066,CLI-1124,PROD-127,TR-101,Sur,54,10.9,93,2025-09-24,2025-09-27,,Cancelado
PED-10067,CLI-1025,PROD-114,TR-102,Oeste,301,29.6,362,2025-12-11,2025-12-15,2025-12-14,Entregado
PED-10068,CLI-1075,PROD-111,TR-103,Oeste,1724,26.57,1650,2025-03-17,2025-03-22,2025-03-23,Entregado
PED-10069,CLI-1044,PROD-102,TR-104,Norte,2529,14.65,563,2025-09-26,2025-09-30,2025-09-30,Entregado
PED-10070,CLI-1065,PROD-114,TR-103,Oeste,602,22.98,543,2025-11-13,2025-11-18,2025-11-23,Entregado
PED-10071,CLI-1088,PROD-118,TR-103,Sur,176,30.9,90,2025-10-16,2025-10-21,2025-10-22,Entregado
PED-10072,CLI-1098,PROD-127,TR-104,Sur,108,16.34,93,2024-04-19,2024-04-23,2024-04-24,Entregado
PED-10073,CLI-1005,PROD-126,TR-104,Oeste,2556,21.66,1686,2024-10-08,2024-10-12,,Cancelado
